viral,Preys,PreyGene,MIST,Saint_BFDR,AvgSpec,FoldChange,Uniprot Protein ID
nsp12,Q99081,TCF12,0.992827377,0.01,2,20,HTF4_HUMAN
nsp12,Q9H2H8,PPIL3,0.986726338,0,5,50,PPIL3_HUMAN
nsp12,Q9HAU0,PLEKHA5,0.990541089,0,17.33,173.33,PKHA5_HUMAN
nsp13,A7MCY6,TBKBP1,0.985289524,0,6.33,63.33,TBKB1_HUMAN
nsp13,O14578,CIT,0.887314876,0,6,60,CTRO_HUMAN
nsp13,O75506,HSBP1,0.851502614,0,4.33,43.33,HSBP1_HUMAN
nsp13,O95613,PCNT,0.971855938,0,181,1810,PCNT_HUMAN
nsp13,O95684,CEP43,0.981570359,0.05,2,20,FR1OP_HUMAN
nsp13,P13861,PRKAR2A,0.897857211,0,20,200,KAP2_HUMAN
nsp13,P17612,PRKACA,0.880321174,0,5.33,53.33,KAPCA_HUMAN
nsp13,P31323,PRKAR2B,0.983191506,0,6.67,66.67,KAP3_HUMAN
nsp13,P35241,RDX,0.912028315,0,7,70,RADI_HUMAN
nsp13,P49454,CENPF,0.873840643,0,20,200,CENPF_HUMAN
nsp13,Q04724,TLE1,0.96917283,0,4.33,43.33,TLE1_HUMAN
nsp13,Q04726,TLE3,0.933626993,0,18,180,TLE3_HUMAN
nsp13,Q08117,TLE5,0.962431031,0.04,2.33,23.33,TLE5_HUMAN
nsp13,Q08378,GOLGA3,0.928738823,0,85,850,GOGA3_HUMAN
nsp13,Q08379,GOLGA2,0.952311087,0,77.33,773.33,GOGA2_HUMAN
nsp13,Q14789,GOLGB1,0.985604541,0,90,900,GOGB1_HUMAN
nsp13,Q4V328,GRIPAP1,0.989815969,0,31,310,GRAP1_HUMAN
nsp13,Q5VT06,CEP350,0.86755993,0,5.67,56.67,CE350_HUMAN
nsp13,Q5VU43,PDE4DIP,0.979124391,0,23.67,236.67,MYOME_HUMAN
nsp13,Q66GS9,CEP135,0.975292134,0,6.33,63.33,CP135_HUMAN
nsp13,Q76N32,CEP68,0.879704216,0.03,3,30,CEP68_HUMAN
nsp13,Q7Z7A1,CNTRL,0.989917408,0,5,50,CNTRL_HUMAN
nsp13,Q8IUD2,ERC1,0.990718127,0,24,240,RB6I2_HUMAN
nsp13,Q8IWJ2,GCC2,0.987387119,0,4.67,46.67,GCC2_HUMAN
nsp13,Q8N3C7,CLIP4,0.966944672,0,3.67,36.67,CLIP4_HUMAN
nsp13,Q8N4C6,NIN,0.991583194,0,69,690,NIN_HUMAN
nsp13,Q8N8E3,CEP112,0.964318835,0.05,2.33,23.33,CE112_HUMAN
nsp13,Q8TD10,MIPOL1,0.98176996,0,18,180,MIPO1_HUMAN
nsp13,Q92995,USP13,0.987514452,0,10.33,103.33,UBP13_HUMAN
nsp13,Q96CN9,GCC1,0.873361571,0,9.67,96.67,GCC1_HUMAN
nsp13,Q96N16,JAKMIP1,0.987966991,0,14.67,146.67,JKIP1_HUMAN
nsp13,Q96SN8,CDK5RAP2,0.939307247,0,62.67,626.67,CK5P2_HUMAN
nsp13,Q99996,AKAP9,0.990813809,0,109,1090,AKAP9_HUMAN
nsp13,Q9BQQ3,GORASP1,0.986870312,0,5.33,53.33,GORS1_HUMAN
nsp13,Q9BQS8,FYCO1,0.733173301,0.05,2,20,FYCO1_HUMAN
nsp13,Q9BV19,C1orf50,0.932056845,0,4,40,CA050_HUMAN
nsp13,Q9BV73,CEP250,0.990717833,0,151,1510,CP250_HUMAN
nsp13,Q9UHD2,TBK1,0.993970596,0,7,70,TBK1_HUMAN
nsp13,Q9UJC3,HOOK1,0.994048081,0,24,240,HOOK1_HUMAN
nsp13,Q9Y2I6,NINL,0.987790569,0,45.33,453.33,NINL_HUMAN
nsp14,P06280,GLA,0.841137578,0,25.67,256.67,AGAL_HUMAN
nsp14,P12268,IMPDH2,0.989667608,0,18.33,183.33,IMDH2_HUMAN
nsp14,Q9NXA8,SIRT5,0.99363281,0,11.67,116.67,SIR5_HUMAN
nsp15,P61970,NUTF2,0.987886,0,2.33,23.33,NTF2_HUMAN
nsp15,P62330,ARF6,0.988131492,0,7,70,ARF6_HUMAN
nsp15,Q9H4P4,RNF41,0.993560817,0,21.33,213.33,RNF41_HUMAN
nsp2,O14975,SLC27A2,0.915803486,0,4.67,46.67,S27A2_HUMAN
nsp2,O60573,EIF4E2,0.806833749,0,10.33,103.33,IF4E2_HUMAN
nsp2,P16435,POR,0.710961769,0,3.33,33.33,NCPR_HUMAN
nsp2,P52306,RAP1GDS1,0.991635744,0,12,120,GDS1_HUMAN
nsp2,Q2M389,WASHC4,0.972115182,0,3.67,36.67,WASC4_HUMAN
nsp2,Q5T1M5,FKBP15,0.988056696,0,19.67,196.67,FKB15_HUMAN
nsp2,Q6Y7W6,GIGYF2,0.767224555,0,40.33,403.33,GGYF2_HUMAN
nsp4,P14735,IDE,0.918031442,0,11.33,113.33,IDE_HUMAN
nsp4,P62072,TIMM10,0.961471982,0,5.33,53.33,TIM10_HUMAN
nsp4,Q2TAA5,ALG11,0.72745605,0,7,70,ALG11_HUMAN
nsp4,Q8TEM1,NUP210,0.710174697,0,6.33,63.33,PO210_HUMAN
nsp4,Q9BSF4,TIMM29,0.986980311,0,7.67,76.67,TIM29_HUMAN
nsp4,Q9NVH1,DNAJC11,0.726866873,0,11.33,113.33,DJC11_HUMAN
nsp4,Q9Y5J6,TIMM10B,0.985104055,0,3,30,T10B_HUMAN
nsp4,Q9Y5J7,TIMM9,0.913806284,0,4,40,TIM9_HUMAN
nsp5,Q92769,HDAC2,0.993708403,0.01,2,20,HDAC2_HUMAN
nsp5_C145A,P07203,GPX1,0.97684084,0,15.67,156.67,GPX1_HUMAN
nsp5_C145A,Q9NXH9,TRMT1,0.984315505,0,7.67,76.67,TRM1_HUMAN
nsp6,O75964,ATP5MG,0.717265558,0,6.67,66.67,ATP5L_HUMAN
nsp6,Q15904,ATP6AP1,0.989106922,0,5,50,VAS1_HUMAN
nsp6,Q99720,SIGMAR1,0.842213253,0,5,50,SGMR1_HUMAN
nsp6,Q9H7F0,ATP13A3,0.805525853,0,5.67,56.67,AT133_HUMAN
nsp7,O00116,AGPS,0.826490325,0,7.67,76.67,ADAS_HUMAN
nsp7,O43169,CYB5B,0.80351019,0,3.33,33.33,CYB5B_HUMAN
nsp7,O95573,ACSL3,0.897068932,0,4.33,43.33,ACSL3_HUMAN
nsp7,P00387,CYB5R3,0.956349351,0,7.33,73.33,NB5R3_HUMAN
nsp7,P11233,RALA,0.750366485,0,2.33,23.33,RALA_HUMAN
nsp7,P21964,COMT,0.745231765,0.04,2,20,COMT_HUMAN
nsp7,P51148,RAB5C,0.87908593,0,8,80,RAB5C_HUMAN
nsp7,P51149,RAB7A,0.972724229,0,10.67,106.67,RAB7A_HUMAN
nsp7,P61006,RAB8A,0.895744596,0.05,2.33,23.33,RAB8A_HUMAN
nsp7,P61019,RAB2A,0.97919572,0.05,2,20,RAB2A_HUMAN
