dnmf_L0,MU_L0,dnmf_L1,MU_L1,dnmf_L2,MU_L2
62955.359375,162510.42476845873,35072.375,89479.31753161308,35082.38671875,65195.203921853776
62941.796875,162495.59317964842,35062.7421875,89450.8110292168,35081.90234375,65189.030685046506
62928.3046875,162480.6926597288,35052.74609375,89422.41188748233,35081.4140625,65182.88426035119
62915.1953125,162465.7260004996,35042.5859375,89394.12006977161,35080.9453125,65176.76513897142
62901.91015625,162450.69590193403,35032.38671875,89365.9355366641,35080.37109375,65170.67387445246
62888.78125,162435.60494317807,35022.1796875,89337.8582452044,35079.97265625,65164.61108764603
62875.60546875,162420.45555628903,35011.54296875,89309.88814813782,35079.38671875,65158.57747161137
62862.55078125,162405.2500038391,35000.703125,89282.02519312955,35078.84375,65152.573796360266
62849.36328125,162389.99036211555,34989.609375,89254.26932197245,35078.29296875,65146.60091333266
62836.23046875,162374.67851233907,34978.296875,89226.62046978586,35077.78125,65140.65975947513
62822.98046875,162359.31614273094,34967.078125,89199.07856420653,35077.109375,65134.75136078098
62810.05859375,162343.90476366883,34955.9921875,89171.6435245741,35076.5703125,65128.87683513252
62796.82421875,162328.44573577843,34944.453125,89144.31526111568,35075.7890625,65123.037394278785
62783.86328125,162312.94030644523,34932.77734375,89117.09367412841,35075.1171875,65117.23434476755
62770.74609375,162297.38964540418,34920.99609375,89089.9786531693,35074.33203125,65111.46908765023
62757.6328125,162281.79486791024,34910.0859375,89062.97007624757,35073.6640625,65105.743116772675
62744.67578125,162266.157037253,34899.109375,89036.06780903091,35072.86328125,65100.05801547582
62731.8046875,162250.47714630165,34887.99609375,89009.27170406212,35072.21875,65094.41545154018
62718.5859375,162234.756085957,34876.71875,88982.58159999552,35071.328125,65088.81717022754
62705.6953125,162218.99461223927,34865.1015625,88955.99732085252,35070.53125,65083.264985308815
62692.53125,162203.1933221168,34853.32421875,88929.51867530335,35069.66796875,65077.76076799781
62679.8359375,162187.35264323794,34841.0234375,88903.14545597645,35068.8671875,65072.306433763784
62666.7578125,162171.4728375559,34829.1015625,88876.8774388027,35067.92578125,65066.90392704702
62654.0,162155.55401544005,34817.62109375,88850.71438239416,35067.1796875,65061.55520396602
62641.17578125,162139.59615572626,34807.68359375,88824.65602746652,35066.26171875,65056.26221317218
62628.421875,162123.59912767558,34800.56640625,88798.70209630454,35065.4140625,65051.02687507505
62615.38671875,162107.56271210642,34793.24609375,88772.85229227829,35064.3515625,65045.85105973589
62602.66796875,162091.48662026908,34786.8671875,88747.10629941183,35063.6171875,65040.736563790924
62590.03515625,162075.37051003068,34781.49609375,88721.46378200852,35062.5078125,65035.68508682567
62577.0859375,162059.21399953295,34776.0703125,88695.92438433769,35061.6640625,65030.698207673646
62564.4296875,162043.01667876524,34770.51953125,88670.48773038444,35060.484375,65025.777361148066
62551.6875,162026.77811957698,34765.0,88645.15342366716,35059.58203125,65020.92381573491
62539.02734375,162010.49788461637,34759.11328125,88619.9210471248,35058.33203125,65016.13865277628
62526.48046875,161994.17553559638,34752.9296875,88594.79016307647,35057.42578125,65011.42274765645
62513.94140625,161977.81064119237,34746.6875,88569.76031325605,35056.03515625,65006.7767534654
62500.98046875,161961.40278477367,34740.58203125,88544.83101892391,35055.1171875,65002.20108754902
62488.65234375,161944.9515720923,34734.03125,88520.0017810552,35053.69140625,64997.6959212942
62476.0078125,161928.4566389795,34727.3515625,88495.27208060853,35052.734375,64993.26117339287
62463.40234375,161911.91765905425,34720.16796875,88470.64137887328,35051.23046875,64988.89650674129
62450.78515625,161895.33435142157,34712.9609375,88446.10911789566,35050.38671875,64984.601329021025
62438.28125,161878.70648832468,34705.31640625,88421.67472098526,35048.66015625,64980.374796902186
62426.0,161862.03390272293,34697.73046875,88397.33759329695,35047.80859375,64976.21582371212
62413.19140625,161845.31649579405,34689.78515625,88373.09712248982,35045.8828125,64972.123090316316
62400.92578125,161828.5542443789,34682.125,88348.95267946113,35045.21484375,64968.09505887972
62388.81640625,161811.74720842525,34673.97265625,88324.9036191479,35043.0390625,64964.129989114386
62376.0625,161794.89553851463,34666.3515625,88300.94928140019,35042.5625,64960.22595656987
62363.60546875,161777.99948356513,34658.1953125,88277.08899191508,35040.21875,64956.380872495014
62351.421875,161761.0593988039,34650.78515625,88253.32206323174,35039.8515625,64952.592504793465
